index value
1 -100456.4
2 -246634.3
3 -412463.8
4 -542235.3
5 -659576.2
6 -757518.6
7 -813021.1
8 -799645.6
9 -725802.4
10 -631339.4
11 -555392.9
12 -505277.2
13 -457136.9
14 -391488.7
15 -308483.6
16 -225586.5
17 -160301.6
18 -98692.12
19 -29208.79
20 45628.82
21 112135.4
22 148115.8
23 149073.7
24 124883.4
25 92155.48
26 67093.91
27 65335.08
28 83643.09
29 101386.6
30 107082.9
31 113724.2
32 125434.6
33 127763.6
34 122381.3
35 127777.6
36 139537.2
37 146364.1
38 150148.9
39 143710.5
40 119117.5
41 92375.38
42 81434.78
43 78570.07
44 69434.95
45 54011.11
46 42236.55
47 27405.05
48 3216.771
49 -19781.89
50 -33010.88
51 -40680.68
52 -37750.28
53 -23094.7
54 -12988.85
55 -17541.26
56 -26202.53
57 -24927.6
58 -17226.08
59 -6064.575
60 11232.81
61 21420.97
62 19096.03
63 14536.71
64 23980.65
65 32308.11
66 35833.2
67 51789.44
68 75592.93
69 85563.91
70 85753.09
71 96736.55
72 102725.2
73 106440.5
74 118114.5
75 147621.4
76 160850.1
77 154361.3
78 147131.8
79 155702.9
80 163813.1
81 166774.5
82 172586.6
83 179658.4
84 165301.5
85 134749.6
86 118184.8
87 107461.7
88 71770.89
89 29489.55
90 11930.7
91 3874.55
92 805.2109
93 16401.98
94 50103.4
95 87564.34
96 117847.6
97 134531.5
98 134146.6
99 116348.8
100 87157.03
