index value
1 114.9541
2 1374.748
3 -7276.934
4 -11737.69
5 -12858.09
6 -21065.79
7 -12472.38
8 13728.03
9 61321.87
10 126970.8
11 169019.1
12 156341.5
13 118862.1
14 94890.35
15 77976.92
16 87621.66
17 130059
18 182711.7
19 216807.8
20 221610.3
21 213222.5
22 203386.6
23 180785.4
24 131809.9
25 65909.84
26 5691.828
27 -27058.63
28 -38393.58
29 -48203.21
30 -59213.59
31 -62532.2
32 -58419.26
33 -51234.72
34 -43911.83
35 -41875.21
36 -50674.33
37 -68589.53
38 -99773.86
39 -146405.3
40 -194716.1
41 -230777.3
42 -249653.5
43 -249924.5
44 -231862.2
45 -201321.3
46 -162036.4
47 -118346.7
48 -79046.23
49 -55219.81
50 -48808.78
51 -57619.95
52 -73635.14
53 -86590
54 -96103.82
55 -110502.2
56 -140959.2
57 -188698.3
58 -237816.1
59 -267706
60 -281950.1
61 -295855
62 -319899.2
63 -349906.8
64 -371967.1
65 -376487.7
66 -364541.8
67 -343868.2
68 -324581.8
69 -304514.1
70 -276575.2
71 -238856.7
72 -195324.3
73 -151798.8
74 -114071.6
75 -90903.46
76 -87110.98
77 -99723.59
78 -121121.2
79 -143624.5
80 -161780.4
81 -172346.8
82 -174943.4
83 -172723.4
84 -165787.2
85 -148382.1
86 -116193.1
87 -74745.16
88 -27978
89 21964.25
90 73438.77
91 124248.9
92 172591.8
93 217561.1
94 258653.7
95 297088.4
96 336284.1
97 373366.8
98 397785
99 392367.5
100 317513
