index value
1 -4302316
2 -4874634
3 -4814857
4 -4753480
5 -4589862
6 -4404599
7 -4256798
8 -4131744
9 -4020781
10 -3904224
11 -3763022
12 -3624588
13 -3530030
14 -3497212
15 -3486338
16 -3471388
17 -3461192
18 -3469689
19 -3469473
20 -3455212
21 -3449489
22 -3454904
23 -3478062
24 -3482266
25 -3470578
26 -3474079
27 -3485992
28 -3488156
29 -3485964
30 -3472341
31 -3452829
32 -3435734
33 -3419323
34 -3410863
35 -3403319
36 -3391224
37 -3382065
38 -3386997
39 -3399243
40 -3403014
41 -3397804
42 -3380318
43 -3353574
44 -3325808
45 -3301270
46 -3279529
47 -3258801
48 -3247010
49 -3250762
50 -3261350
51 -3268806
52 -3266993
53 -3258672
54 -3245583
55 -3230616
56 -3216010
57 -3197646
58 -3179558
59 -3170617
60 -3173112
61 -3177760
62 -3175391
63 -3165618
64 -3159012
65 -3167087
66 -3188648
67 -3215230
68 -3240260
69 -3263597
70 -3280552
71 -3287738
72 -3283863
73 -3270426
74 -3249673
75 -3228922
76 -3212114
77 -3198619
78 -3186602
79 -3180268
80 -3182627
81 -3190106
82 -3189193
83 -3180905
84 -3175316
85 -3173247
86 -3169584
87 -3162535
88 -3153769
89 -3144716
90 -3143190
91 -3153746
92 -3171108
93 -3185990
94 -3198520
95 -3209588
96 -3216974
97 -3214669
98 -3205894
99 -3197767
100 -3189236
