index value
1 -7806.646
2 -2664.455
3 527.1797
4 -9848.379
5 -30167.74
6 -47382.02
7 -73564.86
8 -108318.5
9 -127610
10 -136780.8
11 -129396.1
12 -110990.1
13 -87216.5
14 -52103.72
15 -12188.62
16 14096.44
17 24833.17
18 31626.25
19 33814.04
20 20120.12
21 2423.639
22 -213.9961
23 6632.807
24 9845.453
25 10209.52
26 13285.35
27 17988.02
28 23049.04
29 21786.29
30 17834.69
31 16187.34
32 18610.61
33 23514.52
34 28007.91
35 30637.36
36 29540.01
37 26025.61
38 24014.78
39 22116.79
40 19375.39
41 16386.67
42 13802.22
43 13969.09
44 17710.74
45 19579.4
46 15697.2
47 10317.81
48 10882.4
49 16406.12
50 17850.82
51 7738.023
52 -7500.045
53 -22723.59
54 -40840.46
55 -59682.31
56 -71192.12
57 -71410.23
58 -67666.8
59 -67655.76
60 -65593.17
61 -57826.57
62 -48893.12
63 -44752.42
64 -43478.41
65 -38409.32
66 -30507.67
67 -26896.93
68 -29019.78
69 -29580.52
70 -26949.28
71 -27764.86
72 -34980.45
73 -42270.08
74 -44124.01
75 -41817.63
76 -39116.69
77 -35747.45
78 -28219.9
79 -14261.84
80 2734.141
81 18490.26
82 32466.88
83 44527.05
84 52849.64
85 56262.9
86 55959.66
87 53759.54
88 48956.94
89 40025.27
90 27756.06
91 15094.1
92 2367.258
93 -11513.54
94 -25959.52
95 -37714.52
96 -43253.55
97 -40913.78
98 -32065.38
99 -20092.67
100 -8769.777
