index value
1 -4335680
2 -4946468
3 -4853116
4 -4789252
5 -4651193
6 -4456123
7 -4231370
8 -4033690
9 -3867595
10 -3718570
11 -3601792
12 -3508654
13 -3446620
14 -3402874
15 -3347648
16 -3294077
17 -3262410
18 -3243665
19 -3245182
20 -3235024
21 -3208015
22 -3193079
23 -3168400
24 -3142076
25 -3137671
26 -3125764
27 -3122072
28 -3111215
29 -3099051
30 -3104541
31 -3128369
32 -3134398
33 -3137739
34 -3146018
35 -3162287
36 -3170220
37 -3168753
38 -3172392
39 -3185196
40 -3187828
41 -3194241
42 -3201132
43 -3201674
44 -3192974
45 -3175288
46 -3169690
47 -3180995
48 -3175826
49 -3157560
50 -3151970
51 -3158944
52 -3150018
53 -3125778
54 -3119226
55 -3133548
56 -3137839
57 -3145894
58 -3162707
59 -3166366
60 -3171920
61 -3148428
62 -3119539
63 -3121987
64 -3137315
65 -3135690
66 -3131640
67 -3139558
68 -3152600
69 -3161957
70 -3171942
71 -3191321
72 -3207219
73 -3207362
74 -3204887
75 -3214646
76 -3216581
77 -3232238
78 -3232108
79 -3218291
80 -3214450
81 -3218753
82 -3206890
83 -3185519
84 -3172398
85 -3163268
86 -3157116
87 -3156959
88 -3155920
89 -3149129
90 -3140004
91 -3133044
92 -3141240
93 -3132461
94 -3130098
95 -3125124
96 -3106925
97 -3095997
98 -3109277
99 -3102869
100 -3087855
