index value
1 -4054204
2 -4270366
3 -3945416
4 -3730236
5 -3593060
6 -3470416
7 -3347100
8 -3240844
9 -3161272
10 -3111605
11 -3089716
12 -3085847
13 -3092068
14 -3102726
15 -3122004
16 -3148375
17 -3177541
18 -3210528
19 -3239134
20 -3259124
21 -3273138
22 -3282448
23 -3286150
24 -3280226
25 -3267476
26 -3250905
27 -3234595
28 -3224421
29 -3220660
30 -3215264
31 -3211520
32 -3212018
33 -3213266
34 -3208110
35 -3198530
36 -3193085
37 -3183885
38 -3171462
39 -3165252
40 -3166457
41 -3162864
42 -3155996
43 -3154747
44 -3153877
45 -3148702
46 -3144653
47 -3150771
48 -3152282
49 -3146375
50 -3144150
51 -3139370
52 -3132336
53 -3129359
54 -3138092
55 -3149895
56 -3159895
57 -3173444
58 -3182409
59 -3187372
60 -3194273
61 -3211037
62 -3226244
63 -3232871
64 -3232604
65 -3228912
66 -3216966
67 -3201293
68 -3193871
69 -3191180
70 -3183213
71 -3170076
72 -3167132
73 -3160553
74 -3143434
75 -3132186
76 -3140894
77 -3152622
78 -3153862
79 -3154762
80 -3155878
81 -3154629
82 -3157563
83 -3172695
84 -3189966
85 -3198672
86 -3193767
87 -3188616
88 -3174629
89 -3149742
90 -3126949
91 -3118926
92 -3109442
93 -3097657
94 -3089912
95 -3083968
96 -3077214
97 -3068551
98 -3062702
99 -3057312
100 -3053931
