index value
1 51172.86
2 -67657.21
3 -77944.7
4 -90824.35
5 -135198.8
6 -187932.8
7 -174254.1
8 -103335.7
9 -21412.57
10 29359.03
11 13280.18
12 -61386.67
13 -166820.7
14 -260390.7
15 -294750.2
16 -292937.3
17 -275701.4
18 -231406.8
19 -113583.7
20 78027.65
21 295638.1
22 510682.3
23 708263.4
24 851430.6
25 899518.5
26 881465.1
27 847403.5
28 808494.4
29 780368.6
30 760030.6
31 717747.4
32 635559.6
33 523657.2
34 409839.6
35 314983.7
36 231930.9
37 153591.3
38 111084.5
39 121455.6
40 159518.5
41 203541.8
42 238804.8
43 258508.9
44 267319
45 284840.9
46 323344.4
47 381987.8
48 440590.1
49 459372.2
50 435553.8
51 409222
52 409455.5
53 424858.5
54 436017.8
55 439544.1
56 444463.4
57 459081.5
58 489914.4
59 538423.9
60 586785
61 610951.3
62 603756.6
63 560753.7
64 476947.3
65 367927.7
66 274557.8
67 211063
68 174098.9
69 157768.3
70 158252
71 170285.1
72 188218.1
73 205842.1
74 221957
75 240449.4
76 265942.4
77 298342
78 335894.8
79 381098.8
80 436088.1
81 476181.6
82 498035.6
83 520912.4
84 548772.3
85 572966.5
86 584882.1
87 584794.7
88 574212.2
89 551776.7
90 517969.1
91 482566.5
92 455769.4
93 438822.8
94 428393.5
95 423454.5
96 424100.9
97 427825.3
98 434651.7
99 436296.8
100 419634.2
