index value
1 -3300092
2 -3410246
3 -3092388
4 -2855820
5 -2730200
6 -2667750
7 -2621488
8 -2565942
9 -2519232
10 -2504285
11 -2498704
12 -2506829
13 -2518949
14 -2523070
15 -2513378
16 -2497160
17 -2482904
18 -2479321
19 -2486348
20 -2485160
21 -2478262
22 -2479486
23 -2482622
24 -2474774
25 -2461743
26 -2463817
27 -2472239
28 -2477335
29 -2483756
30 -2496224
31 -2513696
32 -2527530
33 -2536127
34 -2542948
35 -2551247
36 -2563945
37 -2575521
38 -2579444
39 -2576947
40 -2574455
41 -2572088
42 -2567560
43 -2559277
44 -2549664
45 -2540808
46 -2533846
47 -2531812
48 -2536197
49 -2538994
50 -2537466
51 -2534632
52 -2531259
53 -2528886
54 -2529460
55 -2532176
56 -2531318
57 -2526702
58 -2527102
59 -2534033
60 -2542700
61 -2552033
62 -2562978
63 -2569592
64 -2573396
65 -2576816
66 -2581041
67 -2587117
68 -2594046
69 -2599215
70 -2603143
71 -2608458
72 -2616260
73 -2622302
74 -2625070
75 -2624796
76 -2623600
77 -2622062
78 -2620384
79 -2618720
80 -2617074
81 -2616360
82 -2615626
83 -2614542
84 -2611486
85 -2606665
86 -2603434
87 -2602473
88 -2600858
89 -2597468
90 -2597975
91 -2605692
92 -2614338
93 -2618958
94 -2620471
95 -2621685
96 -2625418
97 -2631338
98 -2633991
99 -2625684
100 -2595511
